# XPE virtual-grid scatter kernels -- simulation-based, not calibrated; may be 0.6-0.93x measured SPR (QA-A-95)
# Source: MC-GPU v1.3 photon-counting fork (DIDSR/MCGPUv1.3_PCD_scatterMode e57bd50a0c51), tools/mcsim at commit 65c0915
# Generated 2026-09-17 by tools/mcsim/fit_kernels.py (QA-A-96, #180). Do not scale these values to literature SPR here.
# Assumptions (all of them): water slab density 1.00 g/cm^3 (waterMIF 5-150 keV table), slab 60 x 60 cm;
#   pencil beam on the slab axis; source-detector distance 100 cm; air gap (slab exit face to detector) 2 cm, vacuum;
#   tungsten spectrum SpekPy 2.5.4, anode 12 deg, total filtration 2.5 mm Al; no grid, table, cover or off-focus radiation;
#   detector response = energy absorbed in CsI 600 um, normal incidence for every photon, no K-escape, no light spread.
# Kernel: K(r) = sum_i a_i/(2*pi*s_i^2) * exp(-r^2/(2*s_i^2)) [1/cm^2], r in cm at the detector plane,
#   normalised to the integrated primary signal of the same pencil beam (sum a_i = SPR for an infinite field).
# spr_30x30: scatter/primary summed over a 30 x 30 cm square at the detector (direct pixel sum of the simulated PSF,
#   shift-invariant approximation of a broad beam; not from the fit).
# fit_rms: RMS of (K_fit/K_sim - 1) over r = 0.05-29.75 cm, bins weighted by width. tail_rms: same for r >= 15 cm.
# n_primaries: simulated source photons for the case (fine + coarse detector launches, all repeats).
thickness_cm,kvp,model,a1,s1,a2,s2,a3,s3,a4,s4,fit_rms,tail_rms,spr_30x30,n_primaries
5,60,gauss2,0.578812,3.21359,0.0918765,9.12894,,,,,0.303441,0.246061,0.626009,1000128000
5,60,gauss4,0.123933,1.01677,0.301634,2.93681,0.170346,5.85849,0.0353526,11.2091,0.105071,0.0299522,0.626009,1000128000
5,70,gauss2,0.57488,3.21573,0.104482,9.19618,,,,,0.291746,0.235309,0.628011,1000128000
5,70,gauss4,0.107955,0.960535,0.300425,2.87403,0.18575,5.81853,0.0434107,11.1246,0.0991071,0.0294772,0.628011,1000128000
5,80,gauss2,0.57234,3.22226,0.114696,9.26506,,,,,0.284095,0.22909,0.630605,1000128000
5,80,gauss4,0.0968412,0.918593,0.30009,2.83362,0.197333,5.81568,0.0495511,11.1487,0.0922441,0.030183,0.630605,1000128000
5,90,gauss2,0.570927,3.23102,0.122614,9.32291,,,,,0.278754,0.224972,0.633492,1000128000
5,90,gauss4,0.0887622,0.886222,0.300007,2.80513,0.206256,5.81781,0.0543654,11.1858,0.0867234,0.0303067,0.633492,1000128000
5,100,gauss2,0.570198,3.23677,0.128893,9.36397,,,,,0.274618,0.221577,0.636126,1000128000
5,100,gauss4,0.0825801,0.859057,0.299655,2.77786,0.21359,5.80921,0.0584782,11.1978,0.0810989,0.0306477,0.636126,1000128000
5,110,gauss2,0.569596,3.23947,0.134287,9.3916,,,,,0.270785,0.218388,0.638798,1000128000
5,110,gauss4,0.0780571,0.837895,0.300003,2.76243,0.218603,5.80952,0.0619503,11.2001,0.0769403,0.0309784,0.638798,1000128000
5,120,gauss2,0.569433,3.24208,0.138855,9.41534,,,,,0.267891,0.215625,0.641393,1000128000
5,120,gauss4,0.0737555,0.816199,0.299139,2.736,0.224313,5.78808,0.0654211,11.1833,0.073494,0.0315312,0.641393,1000128000
10,60,gauss2,1.13036,3.59321,0.355215,9.07275,,,,,0.236886,0.181995,1.34986,1000128000
10,60,gauss4,0.188003,1.15364,0.532804,3.29915,0.531875,6.20258,0.144047,10.8102,0.0826495,0.0172328,1.34986,1000128000
10,70,gauss2,1.11674,3.60132,0.407533,9.22774,,,,,0.227134,0.173572,1.37324,1000128000
10,70,gauss4,0.162384,1.08661,0.523238,3.24013,0.572128,6.22442,0.177564,10.9201,0.0789593,0.0177199,1.37324,1000128000
10,80,gauss2,1.10846,3.61413,0.451355,9.3595,,,,,0.219572,0.166508,1.39575,1000128000
10,80,gauss4,0.141745,1.02697,0.509052,3.16544,0.609442,6.20094,0.210685,10.9852,0.0737632,0.019082,1.39575,1000128000
10,90,gauss2,1.10286,3.62301,0.485756,9.45483,,,,,0.214567,0.162985,1.414,1000128000
10,90,gauss4,0.127666,0.982173,0.501932,3.11791,0.635918,6.20579,0.23468,11.0651,0.0692662,0.0181003,1.414,1000128000
10,100,gauss2,1.09885,3.62565,0.515427,9.51947,,,,,0.20968,0.158145,1.43129,1000128000
10,100,gauss4,0.11626,0.942128,0.488894,3.05461,0.658456,6.15129,0.26249,11.0392,0.063324,0.0175561,1.43129,1000128000
10,110,gauss2,1.09815,3.63382,0.538226,9.5824,,,,,0.206563,0.155422,1.44594,1000128000
10,110,gauss4,0.109009,0.916224,0.482072,3.0211,0.675328,6.13426,0.281937,11.0713,0.0598367,0.0163805,1.44594,1000128000
10,120,gauss2,1.09918,3.64422,0.557277,9.6372,,,,,0.20443,0.153955,1.45981,1000128000
10,120,gauss4,0.104225,0.899073,0.48177,3.01203,0.688918,6.15762,0.29375,11.1464,0.0572375,0.0170212,1.45981,1000128000
15,60,gauss2,1.53954,3.72186,0.896437,9.27663,,,,,0.195781,0.147955,2.17752,1000128000
15,60,gauss4,0.235522,1.27476,0.664514,3.47808,1.03072,6.52031,0.398287,10.8903,0.0679798,0.0132503,2.17752,1000128000
15,70,gauss2,1.51104,3.7362,1.01677,9.48542,,,,,0.188353,0.14117,2.23411,1000128000
15,70,gauss4,0.199786,1.1929,0.632508,3.38099,1.09958,6.51953,0.491899,11.0505,0.0654584,0.0113004,2.23411,1000128000
15,80,gauss2,1.49013,3.74475,1.12077,9.65009,,,,,0.181444,0.134287,2.28392,1000128000
15,80,gauss4,0.17276,1.12096,0.609186,3.30002,1.14258,6.49565,0.584607,11.1377,0.0612669,0.0113502,2.28392,1000128000
15,90,gauss2,1.48084,3.75629,1.20319,9.7704,,,,,0.177297,0.13082,2.32981,1000128000
15,90,gauss4,0.15283,1.0615,0.586245,3.21123,1.18923,6.4715,0.655499,11.2248,0.0550316,0.0111725,2.32981,1000128000
15,100,gauss2,1.47608,3.76742,1.2696,9.86694,,,,,0.174061,0.128228,2.3687,1000128000
15,100,gauss4,0.139866,1.01957,0.576817,3.16748,1.22143,6.47891,0.708677,11.317,0.0516372,0.0111895,2.3687,1000128000
